"subject" "activity"
"1" -1 NA
"2" -0.87239538 NA
"3" -0.85384825 "LAYING"
"4" -0.59200434 NA
"5" -0.52106206 NA
"6" -0.50382267 NA
"7" -0.47255704 NA
"8" -0.46644048 NA
"9" -0.4208058 NA
"10" -0.41627026 NA
"11" -0.41265906 NA
"12" -0.41192857 NA
"13" -0.40995186 NA
"14" -0.36723978 "LAYING"
"15" -0.36120533 "WALKING"
"16" -0.32564743 NA
"17" -0.31761762 NA
"18" -0.28379435 NA
"19" -0.27857371 NA
"20" -0.27706634 "WALKING"
"21" -0.27033343 "SITTING"
"22" -0.23910256 "WALKING"
"23" -0.18826164 NA
"24" -0.18139412 "WALKING_DOWNSTAIRS"
"25" -0.17902808 NA
"26" -0.16642569 "WALKING"
"27" -0.16108761 NA
"28" -0.10753016 NA
"29" -0.10751381 NA
"30" -0.10513023 NA
"31" -0.088993912 NA
"32" -0.083287063 "WALKING"
"33" -0.07295394 NA
"34" -0.066238871 "WALKING"
"35" -0.0615055 "WALKING_DOWNSTAIRS"
"36" -0.061041328 NA
"37" -0.047663634 NA
"38" -0.041701306 "WALKING"
"39" -0.029617097 NA
"40" -0.029595164 "STANDING"
"41" -0.028548375 NA
"42" -0.025282608 NA
"43" -0.021257043 NA
"44" -0.01321445 "STANDING"
"45" -0.0088748512 NA
"46" -0.0030603725 NA
"47" -0.0023770934 NA
"48" 0.0011888261 NA
"49" 0.0056960978 NA
"50" 0.013903671 "WALKING"
"51" 0.015401592 NA
"52" 0.017831814 NA
"53" 0.019016151 "WALKING"
"54" 0.022331938 NA
"55" 0.022459037 NA
"56" 0.026059171 NA
"57" 0.027627558 NA
"58" 0.028501893 NA
"59" 0.029089121 NA
"60" 0.02938717 NA
"61" 0.032150855 NA
"62" 0.03515894 NA
"63" 0.040197961 NA
"64" 0.042405499 NA
"65" 0.044666967 NA
"66" 0.047593491 NA
"67" 0.047926064 NA
"68" 0.048761309 NA
"69" 0.050852588 NA
"70" 0.051028466 "SITTING"
"71" 0.053458646 NA
"72" 0.053574526 NA
"73" 0.055138153 NA
"74" 0.057378168 NA
"75" 0.057515757 NA
"76" 0.05859506 NA
"77" 0.058825669 "WALKING_DOWNSTAIRS"
"78" 0.061186573 "SITTING"
"79" 0.062630676 NA
"80" 0.063685486 NA
"81" 0.064073197 NA
"82" 0.06542056 NA
"83" 0.069324092 NA
"84" 0.070536278 "LAYING"
"85" 0.070999584 NA
"86" 0.071035289 "WALKING_UPSTAIRS"
"87" 0.073728786 "WALKING_UPSTAIRS"
"88" 0.074787876 "STANDING"
"89" 0.075547189 "STANDING"
"90" 0.076304242 NA
"91" 0.07654368 NA
"92" 0.076997618 NA
"93" 0.07710126 NA
"94" 0.077308875 NA
"95" 0.077319451 NA
"96" 0.078156973 "WALKING_UPSTAIRS"
"97" 0.078542448 NA
"98" 0.079402186 "SITTING"
"99" 0.080398514 NA
"100" 0.081372604 NA
"101" 0.081698791 NA
"102" 0.084683464 "LAYING"
"103" 0.087568143 NA
"104" 0.087901707 NA
"105" 0.088292784 NA
"106" 0.088857203 NA
"107" 0.08892754 "LAYING"
"108" 0.090218788 NA
"109" 0.090659537 "LAYING"
"110" 0.091124312 "WALKING_DOWNSTAIRS"
"111" 0.092526775 NA
"112" 0.093068135 "WALKING_DOWNSTAIRS"
"113" 0.093371196 NA
"114" 0.095979677 NA
"115" 0.097182009 NA
"116" 0.09719029 NA
"117" 0.097256431 NA
"118" 0.097830479 NA
"119" 0.098749385 NA
"120" 0.10024099 NA
"121" 0.10035411 NA
"122" 0.10192897 NA
"123" 0.10222138 "WALKING_UPSTAIRS"
"124" 0.10222923 NA
"125" 0.10417428 NA
"126" 0.10481167 NA
"127" 0.10524548 NA
"128" 0.10533848 NA
"129" 0.10566507 NA
"130" 0.10569277 NA
"131" 0.10772883 "LAYING"
"132" 0.10777805 NA
"133" 0.1084854 NA
"134" 0.1087847 NA
"135" 0.10900062 NA
"136" 0.10974712 NA
"137" 0.11123126 NA
"138" 0.11131242 "LAYING"
"139" 0.11169003 NA
"140" 0.11174503 NA
"141" 0.11234856 NA
"142" 0.11238966 NA
"143" 0.1125393 NA
"144" 0.11323824 NA
"145" 0.11336129 "WALKING_DOWNSTAIRS"
"146" 0.11344723 NA
"147" 0.11355001 NA
"148" 0.11356913 NA
"149" 0.11384184 NA
"150" 0.11418006 NA
"151" 0.11418016 "STANDING"
"152" 0.11450563 NA
"153" 0.11459357 NA
"154" 0.11486635 NA
"155" 0.11545218 "LAYING"
"156" 0.11628627 NA
"157" 0.1163345 NA
"158" 0.11688337 NA
"159" 0.11776128 NA
"160" 0.11776522 NA
"161" 0.11780708 NA
"162" 0.11805601 NA
"163" 0.11851475 NA
"164" 0.1195509 NA
"165" 0.12025391 NA
"166" 0.12080064 "STANDING"
"167" 0.12111138 NA
"168" 0.12138473 "WALKING_DOWNSTAIRS"
"169" 0.12146517 NA
"170" 0.12147198 NA
"171" 0.12155438 NA
"172" 0.12157767 NA
"173" 0.12166437 "SITTING"
"174" 0.12181363 "STANDING"
"175" 0.12240534 NA
"176" 0.12339232 NA
"177" 0.1235127 NA
"178" 0.12387091 NA
"179" 0.12435587 NA
"180" 0.12486678 NA
"181" 0.12515895 NA
"182" 0.12555853 "STANDING"
"183" 0.12592012 "WALKING_UPSTAIRS"
"184" 0.12623258 NA
"185" 0.12666467 NA
"186" 0.12697024 NA
"187" 0.12793752 NA
"188" 0.12803974 "WALKING_DOWNSTAIRS"
"189" 0.1280471 NA
"190" 0.12806415 NA
"191" 0.12861812 NA
"192" 0.12878424 NA
"193" 0.12886 NA
"194" 0.12888592 "WALKING_DOWNSTAIRS"
"195" 0.12951378 NA
"196" 0.12998991 NA
"197" 0.13001261 NA
"198" 0.13046118 "WALKING"
"199" 0.13056706 "LAYING"
"200" 0.13091181 NA
"201" 0.13096993 NA
"202" 0.13105294 NA
"203" 0.13120472 NA
"204" 0.13120716 NA
"205" 0.13125238 "STANDING"
"206" 0.13143218 NA
"207" 0.13151741 NA
"208" 0.13152726 NA
"209" 0.13190806 NA
"210" 0.1321928 "LAYING"
"211" 0.13238433 NA
"212" 0.13262041 NA
"213" 0.13263325 NA
"214" 0.13267581 NA
"215" 0.13288482 NA
"216" 0.13329999 NA
"217" 0.13332561 NA
"218" 0.13336351 NA
"219" 0.1334979 NA
"220" 0.13352938 NA
"221" 0.13373761 NA
"222" 0.1339655 NA
"223" 0.13452444 NA
"224" 0.13462299 NA
"225" 0.13502173 NA
"226" 0.13530156 NA
"227" 0.1356538 NA
"228" 0.13587336 NA
"229" 0.13592038 NA
"230" 0.1360427 NA
"231" 0.13613957 NA
"232" 0.13622696 NA
"233" 0.13669746 "WALKING_DOWNSTAIRS"
"234" 0.13672978 NA
"235" 0.13719152 NA
"236" 0.13729358 NA
"237" 0.13735329 NA
"238" 0.13756918 NA
